d,h,hdo,den,num,dhdo,loghdo
8.8,8.4,16.9,1733,0.030021323,148.72,
9.3,8.8,16.4,1844,0.203838888,152.52,
10.9,8.1,20.3,800,0.323818377,221.27,
28.8,20.9,18.1,556,0.535656943,521.28,
13.1,12.9,14.1,2200,0.765992928,184.71,
18.7,12.7,17.2,1778,0.941605772,321.64,
4.7,5.2,11.8,1600,0.260776175,55.46,
6.9,3.2,16.2,1478,0.409586119,111.78,
15.4,11.8,15.4,1033,0.231585133,237.16,
14.9,9,22.8,956,0.477864845,339.72,
20.1,14.1,20.1,733,0.140972749,404.01,
12.6,10.5,17.1,1411,0.525995904,215.46,
34.3,13.9,18.1,556,0.539697053,620.83,
2.6,3.4,9.7,1644,0.973168721,25.22,
7.5,11.4,17.1,1411,0.783598457,128.25,
7.5,4,15.7,656,0.220252741,117.75,
15.8,9.5,22.8,956,0.920371066,360.24,
6.1,6.7,15,1956,0.676467688,91.5,
21.4,9.9,15.4,1033,0.362673431,329.56,
6.2,5.1,15.4,967,0.667432251,95.48,
25.3,10.8,15.4,967,0.635324875,389.62,
