d,h,hdo,den,,,,,
5.5,3.8,6.1,722,,,,,
5.5,3.8,5.4,1133,,,,,
5.5,3.7,6,600,,,,,
5.5,3.6,7.1,1044,,,,,
5.6,6.2,10.1,1522,,,,,
5.6,5.8,6.9,1356,,,,,
5.6,5.6,6.2,1311,,,,,
5.6,5.6,6.4,911,,,,,
5.6,5.5,7.2,1733,,,,,
5.6,5.4,6.4,911,,,,,
5.6,5.4,20.5,722,,,,,
5.6,4.8,7.1,1044,,,,,
5.6,4.7,6.8,767,,,,,
5.6,4.7,6,1322,,,,,
5.6,4.7,7.2,1733,,,,,
5.6,4.4,6.9,1356,,,,,
5.6,4.4,6.8,767,,,,,
5.6,4.3,4.9,689,,,,,
5.6,4.2,6,600,,,,,
5.6,4.1,15.1,1411,,,,,
5.6,4.1,7.8,989,,,,,
5.6,4.1,10.1,1522,,,,,
5.6,4,6.8,767,,,,,
5.6,4,6,600,,,,,
5.6,3.8,7.1,1044,,,,,
5.6,3.7,6,1322,,,,,
5.6,3.4,6.9,1356,,,,,
5.7,8.7,14,2333,,,,,
5.7,6.4,14.1,2200,,,,,
5.7,6.2,13.1,811,,,,,
5.7,6.2,10.1,1522,,,,,
5.7,6,14.6,789,,,,,
5.7,6,17.7,2278,,,,,
5.7,5.8,14,2333,,,,,
5.7,5.1,6.4,911,,,,,
5.7,5,6,1322,,,,,
5.7,4.9,6.9,1356,,,,,
5.7,4.8,14.8,1022,,,,,
5.7,4.8,10.4,500,,,,,
5.7,4.6,7.2,1733,,,,,
5.7,4.4,9.7,1644,,,,,
5.7,4.1,6,1322,,,,,
5.7,4,6.4,911,,,,,
5.7,4,5.4,1133,,,,,
5.7,3.5,5.4,1133,,,,,
5.7,3,7.1,1044,,,,,
5.7,2.9,6,1322,,,,,
5.7,2.1,6.9,1356,,,,,
5.8,8.5,13.2,2122,,,,,
5.8,7.4,14,2333,,,,,
5.8,6.6,14,2333,,,,,
5.8,6,15.8,1522,,,,,
5.8,5.9,13.2,2122,,,,,
5.8,5.7,13.2,2122,,,,,
5.8,5.6,17.7,2278,,,,,
5.8,5.5,7.1,1044,,,,,
5.8,5.3,16.5,1356,,,,,
5.8,5.2,4.9,689,,,,,
5.8,5.1,10.1,1522,,,,,
5.8,5,6.4,911,,,,,
5.8,4.8,6.4,911,,,,,
5.8,4.5,6,1322,,,,,
5.8,4.5,6,1322,,,,,
5.8,4.2,5.4,1133,,,,,
5.8,4.2,16.5,1356,,,,,
5.8,3.8,4.9,689,,,,,
5.8,3.3,9.7,1644,,,,,
5.8,3,6,1322,,,,,
5.9,7.3,16.2,1678,,,,,
5.9,6.7,13.2,2122,,,,,
5.9,6.6,14.8,1967,,,,,
5.9,6.2,14,2333,,,,,
5.9,5.6,14.8,1022,,,,,
5.9,5.6,14.5,978,,,,,
5.9,5.4,7.2,1733,,,,,
5.9,4.8,16.5,1356,,,,,
5.9,4.7,6.4,911,,,,,
5.9,4.5,6,600,,,,,
5.9,4.4,4.9,689,,,,,
5.9,4.3,5.4,1133,,,,,
5.9,4.2,6.9,1356,,,,,
5.9,4.2,14.8,1022,,,,,
5.9,4.2,7.8,989,,,,,
5.9,4.1,14,2333,,,,,
5.9,4.1,14,2333,,,,,
5.9,4.1,9.7,1644,,,,,
5.9,3.5,6.1,722,,,,,
5.9,3.1,5.7,533,,,,,
5.9,2.8,5.4,1133,,,,,
6,6.6,7.1,1044,,,,,
6,6.5,15.1,1656,,,,,
6,6.3,7.1,1044,,,,,
6,5.7,7.1,1044,,,,,
6,5.7,5.7,533,,,,,
6,5.6,10.1,1522,,,,,
6,5.4,6,1322,,,,,
6,5.4,17.7,2278,,,,,
6,5.2,6,1322,,,,,
6,5,6,1322,,,,,
6,4.9,17.7,2278,,,,,
