"CW","CLR","SD","D","PLOT"
5.41,0.75,1477.777778,27.1,22
1.35,0.26,1477.777778,2.8,22
2.11,0.46,1477.777778,5.5,22
1.835,0.42,1477.777778,6.5,22
2.225,0.75,1477.777778,5.5,22
2.985,0.64,1477.777778,6.5,22
2.86,0.55,1477.777778,9.2,22
2.32,0.64,1477.777778,7.3,22
1.675,0.42,1477.777778,3.7,22
4.445,0.83,1477.777778,27.7,22
4.755,0.67,1477.777778,29.2,22
3.705,0.73,1477.777778,11.5,22
3.305,0.41,1477.777778,6.9,22
2.3,0.66,1477.777778,3.7,22
1.73,0.78,1477.777778,2.6,22
2.095,0.56,1477.777778,6.1,22
4.865,0.81,1477.777778,15.8,22
4.865,0.8,1477.777778,14.9,22
3.01,0.5,1477.777778,5,22
2.595,0.32,1477.777778,2.9,22
5.75,0.79,1477.777778,18.4,22
1.945,0.5,1766.666667,17.6,26
1.855,0.32,1766.666667,13.6,26
2.225,0.44,1766.666667,10.5,26
2.325,0.35,1766.666667,15.3,26
1.56,0.36,1766.666667,8.4,26
2.595,0.37,1766.666667,16.3,26
1.545,0.31,1766.666667,5.9,26
2.025,0.34,1766.666667,11.2,26
1.615,0.55,1766.666667,6.5,26
1.375,0.24,1766.666667,8.1,26
1.22,0.18,1766.666667,6.4,26
2.115,0.48,1766.666667,8.5,26
2.355,0.51,1766.666667,14.1,26
2.575,0.48,1766.666667,10,26
2.665,0.24,1766.666667,5.2,26
2.46,0.34,1766.666667,13.4,26
2.575,0.44,1766.666667,14.4,26
2.665,0.39,1766.666667,12.1,26
2.06,0.58,1766.666667,11.1,26
2.065,0.3,1766.666667,16.1,26
2.195,0.33,1766.666667,4.3,26
2.96,0.48,1766.666667,6.1,26
2.915,0.29,1766.666667,15.6,26
3.83,0.37,1766.666667,19.1,26
3.14,0.28,1766.666667,15.6,26
1.855,0.63,1766.666667,5.3,26
2.635,0.56,1766.666667,6.2,26
2.735,0.36,1766.666667,20.1,26
2.175,0.52,1766.666667,17,26
2.585,0.64,1766.666667,8.6,26
2.865,0.52,1766.666667,15.6,26
2.82,0.57,1766.666667,18.6,26
2.75,0.36,1766.666667,20.2,26
2.265,0.68,1766.666667,12.2,26
3.76,0.64,1766.666667,7,26
2.965,0.52,1766.666667,11.6,26
3.665,0.61,1766.666667,20.7,26
3.55,0.6,1766.666667,21.1,26
4.495,0.61,1766.666667,12.8,26
3.655,0.6,1766.666667,10.6,26
4.24,0.42,1766.666667,22.6,26
3.11,0.73,1766.666667,5.4,26
2.785,0.42,1766.666667,12.8,26
2.74,0.39,1766.666667,15.4,26
3.7,0.76,1766.666667,11,26
2.935,0.53,1766.666667,5.6,26
2.175,0.5,1766.666667,10.9,26
2.655,0.45,1766.666667,10.8,26
2.98,0.38,1766.666667,12.4,26
3.605,0.33,1766.666667,12.3,26
1.93,0.2,1766.666667,9.5,26
1.875,0.22,1766.666667,10.9,26
3.99,0.33,1766.666667,12.9,26
3.915,0.19,1766.666667,10.7,26
4.61,0.07,1766.666667,14.2,26
5.62,0.46,1766.666667,20.7,26
4.53,0.7,1766.666667,21.8,26
5.01,0.72,1766.666667,12.5,26
3.8,0.63,1766.666667,13.5,26
2.17,0.39,1766.666667,3.6,26
3.74,0.62,1766.666667,14.4,26
3.985,0.57,1766.666667,14.1,26
4.03,0.48,1766.666667,13.4,26
3.785,0.41,1766.666667,15.2,26
4.71,0.69,1766.666667,14.5,26
3.665,0.61,1766.666667,17.3,26
3.195,0.62,1766.666667,7.8,26
2.87,0.39,1766.666667,12.2,26
3.715,0.45,1766.666667,14.2,26
3.49,0.58,1766.666667,14.2,26
3.975,0.28,1766.666667,11,26
3.61,0.28,1766.666667,12.2,26
4.155,0.69,1766.666667,15.3,26
4.185,0.6,1766.666667,8.8,26
3.5,0.34,1766.666667,10.2,26
2.2,0.51,1766.666667,6.5,26
2.97,0.72,1766.666667,12,26
3.45,0.42,1766.666667,20.8,26
3.79,0.58,1766.666667,19.5,26
3.545,0.43,1766.666667,8.2,26
2.67,0.66,1766.666667,10,26
3.2,0.57,1766.666667,9,26
